HIP,n_HD,HD,DM,GC,HR,RAJ2000,DEJ2000,Vmag_viz,Fl,Bayer,Cst,SimbadName,RAhms,DEdms,Vmag_hip,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,distance,x,y,z
35080, ,56003,BD+00  1871 ,9622.0,2744.0,108.830875,-0.1613055555555555,6.42,24.0, ,Mon,HD  56003,07 15 19.41,-00 09 40.7,6.42,108.83088379,-0.16129299,6.15,-8.17,4.01,0.92,0.901, ,108.83086393,-0.16128324,162.60162601626016,-52.48365699674747,153.89783940802894,0.4577738743385066
35146, ,55280,BD+59  1065 ,9581.0,2715.0,108.97924999999998,59.63808333333333,5.2,18.0, ,Lyn,HD  55280,07 15 55.02,+59 38 17.1,5.2,108.97924939,59.63809569,16.88,-101.07,-258.69,0.76,1.081, ,108.97876339,59.63746693,59.241706161137444,-9.738667213213569,28.316452761234242,-51.116696027947846
35152, ,55870,BD+28  1350 ,9627.0,2738.0,108.98824999999998,27.89741666666666,5.75,53.0, ,Gem,HD  55870,07 15 57.18,+27 53 50.7,5.75,108.98823076,27.89742666,3.02,-14.07,-3.24,0.94,1.605, ,108.98819207,27.89741878,331.1258278145695,-95.21901934112546,276.7204492967279,-154.93045259927223
35210, ,56577,CD-23  5189 ,9675.0,2764.0,109.15349999999998,-23.315611111111107,4.83,145.0, ,CMa,HD  56577,07 16 36.84,-23 18 56.2,4.83,109.153487,-23.31560155,0.52,-4.91,3.01,1.3,1.601, ,109.153474,-23.31559423,1923.0769230769229,-579.4365024986042,1668.2732110872885,761.1456396851383
35228, ,57623,CP-67   730 ,9747.0,2803.0,109.20762499999998,-67.95716666666665,3.97,,del,Vol,HD  57623,07 16 49.83,-67 57 25.8,3.97,109.20762844,-67.95717248,4.94,-4.11,8.5,0.46,0.76, ,109.20760182,-67.95715182,202.42914979757083,-24.994068567481047,71.74244510224098,187.63229678006758
35264, ,56855,CD-36  3489 ,9706.0,2773.0,109.28566666666666,-37.0975,2.71,,pi.,Pup,HD  56855,07 17 08.56,-37 05 51.0,2.71,109.28568399,-37.09748689,2.98,-10.57,7.0,0.55,1.616,P,109.28565178,-37.09746988,335.5704697986577,-88.4004492641162,252.63464298430097,202.40710939833372
35341, ,56221,BD+41  1630 ,9677.0,2753.0,109.50924999999998,40.88336111111111,5.87,64.0, ,Aur,HD  56221,07 18 02.22,+40 53 00.1,5.87,109.50927066,40.88336298,12.18,-15.04,12.15,0.92,0.181, ,109.50922231,40.88339251,82.10180623973727,-20.72968679735477,58.508808784089325,-53.73737961398759
35347, ,57197,CD-43  3093 ,9732.0,2789.0,109.51774999999998,-43.986777777777775,5.86,,M,Pup,HD  57197,07 18 04.26,-43 59 12.4,5.86,109.51773775,-43.98677255,5.25,-9.82,-5.56,0.48,-0.117, ,109.51770458,-43.98678606,190.47619047619045,-45.78746024759188,129.17260927255657,132.2842569473655
35350, ,56537,BD+16  1443 ,9701.0,2763.0,109.523375,16.54047222222222,3.58,54.0,lam,Gem,HD  56537,07 18 05.61,+16 32 25.7,3.58,109.52336162,16.54047526,34.59,-46.09,-37.9,0.93,0.106, ,109.52324476,16.54038314,28.910089621277823,-9.261699488880687,26.12036144237126,-8.230487385803329
35363,X,57150,CD-36  3512 ,9733.0,2787.0,109.57666666666664,-36.73397222222221,4.65,,v01,Pup,HD  57150,07 18 18.40,-36 44 02.3,4.65,109.57667037,-36.7339666,3.85,-11.29,1.85,0.72,-0.099, ,109.57663613,-36.7339621,259.7402597402597,-69.74818171711172,196.12836154628624,155.35076270898566
